subfamily	family	orientation	n_copies	n_copies_total	median_log2fc	bg_median_log2fc	delta_vs_bg	frac_positive	median_input_dens	p	q
L1MD	L1	sense	1365	8612	-0.246427	-0.330097	0.0836702	0.463736	1.13524	0.421051	0.452185
L1ME1	L1	sense	4813	31502	-0.2492	-0.330097	0.0808962	0.451278	0.924783	0.210595	0.23967
AluYf4	Alu	antisense	347	1350	-1.68268	-1.75928	0.0765957	0.195965	0.958392	3.29922e-05	5.29612e-05
AluYk4	Alu	antisense	482	1846	-1.68578	-1.75928	0.073498	0.190871	0.997454	6.52483e-06	1.09949e-05
AluSp	Alu	sense	19193	49103	-0.259767	-0.330097	0.0703297	0.448028	0.611399	0.147309	0.170833
L1ME2	L1	sense	1870	12862	-0.263464	-0.330097	0.0666323	0.447059	1.0946	0.878501	0.893143
AluSc5	Alu	antisense	1917	6775	-1.69503	-1.75928	0.0642521	0.136672	1.67079	6.5153e-09	1.36107e-08
AluSq10	Alu	antisense	741	2404	-1.69552	-1.75928	0.0637549	0.156545	1.68803	0.000151652	0.000232432
AluYa5	Alu	antisense	749	3858	-1.70954	-1.75928	0.049734	0.206943	0.452388	7.71722e-12	1.82461e-11
SVA_F	SVA	sense	88	995	-0.283762	-0.330097	0.0463348	0.454545	0.249257	0.0755356	0.0921535
AluSq	Alu	sense	7294	21499	-0.284594	-0.330097	0.0455026	0.446531	0.555505	0.992397	0.992397
AluSq2	Alu	sense	20173	54418	-0.292632	-0.330097	0.0374649	0.442869	0.665869	0.209971	0.23967
AluSx3	Alu	sense	10968	29020	-0.295908	-0.330097	0.034189	0.441193	0.659597	0.913505	0.92258
L1MD2	L1	sense	1744	10973	-0.300031	-0.330097	0.0300654	0.443807	1.05962	0.39308	0.426653
AluJb	Alu	antisense	41461	142591	-1.72991	-1.75928	0.0293665	0.127469	2.42391	1.09177e-06	2.03042e-06
AluSz6	Alu	antisense	14323	45181	-1.73115	-1.75928	0.028124	0.112197	2.39845	0.000127599	0.000197552
AluSc5	Alu	sense	2411	6775	-0.314997	-0.330097	0.0151001	0.443799	0.595956	0.461314	0.490246
AluSg	Alu	sense	17299	40784	-0.322821	-0.330097	0.00727557	0.437887	0.615537	0.0741102	0.0915126
L1ME3B	L1	sense	1501	8253	-0.323212	-0.330097	0.00688501	0.44437	1.12168	0.225616	0.25581
AluJo	Alu	antisense	20337	71274	-1.7602	-1.75928	-0.000920482	0.119683	2.52123	0.00353664	0.00499387
AluJr	Alu	antisense	20497	76315	-1.76121	-1.75928	-0.00193233	0.124896	2.31824	0.0716447	0.0895558
