subfamily	orientation	family	n_copies_with_reads	chr_mean	cyto_mean	chrRNA_neb_mean	log2_retention_rep1	log2_retention_rep2	log2_retention	reps_agree
L1MA4	sense	L1	279	2547.3767	1354.2785	1398.0774	1.1722	0.6957	0.9339	yes
L1MA5	antisense	L1	131	889.2725	478.6147	1121.6033	1.0535	0.7460	0.8998	yes
L1PA12	sense	L1	47	778.8289	435.7680	2026.3185	0.4286	1.3657	0.8971	yes
L1M2	antisense	L1	230	773.9755	417.7919	1695.5285	0.8628	0.9141	0.8884	yes
L1ME4b	antisense	L1	804	2877.5264	1583.1462	2857.2138	1.0492	0.6849	0.8671	yes
L1MB7	antisense	L1	798	3495.4297	1937.0460	4928.9643	0.9065	0.7944	0.8505	yes
L1ME2z	sense	L1	198	982.1449	554.3445	509.9884	0.6912	0.9777	0.8344	yes
L1MA5A	sense	L1	94	579.2878	328.3947	476.4237	1.0910	0.5526	0.8218	yes
L1M	sense	L1	29	62.6204	38.5529	55.1823	1.3683	0.2432	0.8057	yes
AluYg6	antisense	Alu	27	25.1450	14.4384	54.1203	0.5838	0.9358	0.7598	yes
L1PA7	antisense	L1	397	3343.7167	1975.4477	5072.9923	0.7503	0.7679	0.7591	yes
L1ME4a	sense	L1	1055	4416.1251	2611.9627	2397.3009	0.8118	0.7020	0.7569	yes
L1ME3Cz	sense	L1	359	3835.6177	2391.9852	1588.4142	1.0982	0.3380	0.7181	yes
L1MB2	sense	L1	287	1958.2064	1213.4468	1092.9468	0.5035	0.9152	0.7094	yes
AluYk11	antisense	Alu	46	53.4095	45.1597	100.2660	-0.5657	1.9543	0.6943	NO
L1MB3	antisense	L1	540	2082.7805	1304.0687	3167.7325	0.5798	0.7877	0.6837	yes
L1P3b	sense	L1	4	7.3937	13.5162	8.6620	3.0422	-1.7131	0.6645	NO
L1P	antisense	L1	1	0.5694	0.0000	3.4014	0.5384	0.7539	0.6461	yes
L1ME3	antisense	L1	285	1129.4105	726.8345	1119.9488	0.6483	0.6215	0.6349	yes
L1ME3E	sense	L1	118	569.0987	376.4723	336.4602	0.5943	0.5953	0.5948	yes
L1MB8	antisense	L1	540	3105.6685	2076.8191	3917.5657	0.6892	0.4707	0.5800	yes
L1MB5	antisense	L1	323	1055.3274	717.3097	1877.2147	0.6022	0.5124	0.5573	yes
L1M5	antisense	L1	1471	4586.3451	3180.9116	4211.3576	0.4217	0.6484	0.5351	yes
L1ME3G	antisense	L1	498	1290.7712	901.3202	1625.7065	0.6401	0.4044	0.5222	yes
L1M2	sense	L1	248	5583.1105	3960.4053	4657.3761	0.6896	0.2985	0.4941	yes
L1MEg2	sense	L1	4	0.3978	0.0000	1.1933	0.5384	0.4257	0.4820	yes
Alu	antisense	Alu	109	198.2583	145.4576	405.5000	0.6821	0.2631	0.4726	yes
L1MEg	antisense	L1	408	897.5420	676.7611	1415.3820	0.3289	0.4839	0.4064	yes
L1PA3	antisense	L1	557	2810.6801	2230.1083	5386.9520	0.4139	0.2597	0.3368	yes
L1ME3Cz	antisense	L1	340	981.6912	786.2814	947.4684	0.2132	0.4459	0.3295	yes
L1PA12	antisense	L1	27	157.6546	129.0235	411.7762	0.3297	0.2472	0.2885	yes
L1MEg2	antisense	L1	2	0.2262	0.0000	7.7528	0.5384	0.0000	0.2692	NO
L1ME4a	antisense	L1	1164	4025.7763	3360.9011	2791.8409	0.4369	0.0985	0.2677	yes
L1MC5a	antisense	L1	655	2844.1180	2382.3240	3077.0295	0.3934	0.1262	0.2598	yes
L1M2c	antisense	L1	21	51.6390	48.0776	156.7729	-0.4282	0.9234	0.2476	NO
AluSq4	antisense	Alu	54	143.5931	130.0970	364.5194	0.6532	-0.1915	0.2309	NO
AluYb8	antisense	Alu	114	154.8552	138.5483	185.9456	-0.2263	0.6088	0.1912	NO
L1M3	antisense	L1	144	480.5509	421.6320	665.0842	0.1830	0.1940	0.1885	yes
L1PA2	antisense	L1	320	2703.9458	2422.8873	3466.5702	0.0832	0.2364	0.1598	yes
L1MB5	sense	L1	257	1637.3470	1472.4013	1373.6114	0.3001	0.0184	0.1592	yes
SVA_F	antisense	SVA	87	175.3276	157.9004	683.1236	0.1837	0.1176	0.1507	yes
L1MB4	antisense	L1	266	1102.2636	1079.6608	1897.4920	-0.2129	0.3166	0.0519	NO
AluYk3	antisense	Alu	44	161.7723	157.9004	145.6986	0.0995	-0.0294	0.0350	NO
L1PB	antisense	L1	30	182.3229	191.3883	186.9420	-0.4467	0.5072	0.0302	NO
L1P	sense	NA	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	yes
L1ME5	antisense	L1	101	570.6318	588.5887	909.0732	0.3719	-0.3947	-0.0114	NO
AluJr4	antisense	Alu	768	1609.0955	1645.6770	3310.7346	-0.1677	0.1260	-0.0208	NO
L1ME3A	sense	L1	461	2179.4060	2271.2913	1632.3176	-0.2356	0.1371	-0.0493	NO
L1ME3D	sense	L1	112	826.5717	876.5860	417.7798	0.3092	-0.4214	-0.0561	NO
AluYk2	antisense	Alu	28	63.5955	77.8767	81.2676	-0.9154	0.7018	-0.1068	NO
L1HS	antisense	L1	85	564.3092	619.3099	667.2922	0.0817	-0.3144	-0.1164	NO
AluSc5	antisense	Alu	217	319.4749	349.4399	664.5759	-0.2602	-0.0009	-0.1305	yes
SVA_D	antisense	SVA	113	958.0541	1102.2333	2169.9739	-0.4198	-0.0015	-0.2107	yes
