subfamily	orientation	family	n_copies_with_reads	chr_mean	cyto_mean	chrRNA_neb_mean	log2_retention_rep1	log2_retention_rep2	log2_retention	reps_agree
L1MC5a	sense	L1	1788	17527.7671	3488.6999	12529.9283	2.4666	2.1977	2.3321	yes
L1M4	sense	L1	1959	28943.8771	5836.7650	15779.8758	2.4967	2.1366	2.3166	yes
L1ME5	sense	L1	231	2850.4447	580.6058	1706.9121	2.3734	2.2169	2.2952	yes
L1MB5	sense	L1	829	10018.0051	2057.6182	6921.7755	2.3513	2.2175	2.2844	yes
L1MD	sense	L1	851	12630.7643	2605.5071	5283.5328	2.3694	2.1873	2.2784	yes
L1M3	sense	L1	585	7463.7379	1554.2694	4692.9715	2.4507	2.0871	2.2689	yes
L1PA7	antisense	L1	697	902.2104	213.0386	738.2022	2.9887	1.5031	2.2459	yes
L1MB3	sense	L1	1725	23592.9818	5088.5827	15046.9711	2.3702	2.0713	2.2208	yes
L1MDa	sense	L1	577	14127.6429	3031.9015	6277.2242	2.2659	2.1751	2.2205	yes
L1ME3G	sense	L1	1853	16247.0765	3538.4560	9233.3311	2.4487	1.9756	2.2121	yes
L1PB4	antisense	L1	190	160.2667	38.5529	151.5666	2.8119	1.4811	2.1465	yes
L1PA6	antisense	L1	353	396.9769	90.4707	474.2233	1.8811	2.3704	2.1257	yes
L1PA5	antisense	L1	860	801.7569	183.8593	1119.4392	2.0632	2.1767	2.1199	yes
L1PA11	antisense	L1	137	108.8151	25.0367	81.9399	2.2579	1.9003	2.0791	yes
L1PREC2	antisense	L1	291	461.3178	113.5116	314.2225	1.7107	2.4342	2.0725	yes
L1M7	antisense	L1	95	96.8895	25.9589	15.0039	1.4813	2.5628	2.0220	yes
L1MC4	sense	L1	2405	37223.7509	9244.6851	19376.5223	2.0879	1.9356	2.0117	yes
L1ME4a	sense	L1	3571	20963.6031	5257.3986	12782.5762	2.0991	1.8963	1.9977	yes
L1ME4b	sense	L1	2525	20763.6257	5515.7481	13199.9449	2.0420	1.7913	1.9166	yes
L1PA4	antisense	L1	977	1025.8071	283.2350	1694.1603	2.2425	1.5490	1.8958	yes
L1MEj	antisense	L1	93	76.8306	22.1187	15.1295	1.2877	2.4298	1.8588	yes
L1ME3C	sense	L1	408	3919.8745	1114.5100	2640.7320	2.1340	1.5521	1.8430	yes
L1MA9	antisense	L1	453	583.3371	175.4079	246.6840	2.4818	1.2032	1.8425	yes
L1MD1	antisense	L1	182	596.4309	176.0277	84.0574	1.4598	2.1867	1.8232	yes
L1MC5	sense	L1	1571	14293.4811	4065.3292	9763.5345	1.7987	1.8292	1.8140	yes
L1PA8	antisense	L1	286	210.9156	66.3562	210.2789	1.1940	2.3423	1.7681	yes
L1PA8A	antisense	L1	119	186.8857	67.2785	111.5579	0.8425	2.6922	1.7673	yes
L1MA7	antisense	L1	195	192.6331	56.8314	141.0204	2.1539	1.3739	1.7639	yes
L1PB3	antisense	L1	116	191.3241	57.7537	38.6897	1.5956	1.8312	1.7134	yes
L1PA10	antisense	L1	271	301.0977	95.2331	301.8214	1.3460	2.0766	1.7113	yes
L1ME3D	antisense	L1	132	126.9562	40.3973	83.1332	1.2810	2.1315	1.7063	yes
L1PA13	antisense	L1	323	529.6338	167.4251	622.8630	1.3642	1.9999	1.6821	yes
L1PA15	antisense	L1	270	589.6316	202.9088	709.2478	1.0869	2.2303	1.6586	yes
AluYb9	antisense	Alu	27	2.2695	0.0000	7.0134	2.0588	1.2466	1.6527	yes
Alu	antisense	Alu	133	112.5823	36.5572	228.0660	1.3051	1.9831	1.6441	yes
L1PA2	antisense	L1	602	921.7960	294.6042	1167.3631	1.6488	1.6360	1.6424	yes
L1ME4c	antisense	L1	276	147.7954	95.0818	88.5394	-0.1571	3.2518	1.5473	NO
L1MA5	antisense	L1	136	341.1077	133.0149	114.1308	2.2071	0.7726	1.4898	yes
L1MD3	sense	L1	484	9346.6934	3403.9287	4523.7965	1.4616	1.4521	1.4568	yes
L1MDa	antisense	L1	215	164.2680	66.3562	101.7169	0.8614	1.9566	1.4090	yes
L1MD3	antisense	L1	160	213.3883	84.7860	173.0100	1.7558	0.9976	1.3767	yes
L1MB1	antisense	L1	158	138.6556	54.8357	173.3955	0.9726	1.7701	1.3713	yes
L1M3b	sense	L1	39	97.7324	56.6802	177.5098	0.0273	2.7056	1.3665	yes
