subfamily	orientation	family	n_copies_with_reads	chr_mean	cyto_mean	chrRNA_neb_mean	log2_retention_rep1	log2_retention_rep2	log2_retention	reps_agree
L1MA5	sense	L1	11	12.1202	18.2786	10.1979	-1.0199	-0.0132	-0.5165	yes
L1M4b	sense	L1	16	24.7630	36.5572	7.5544	-1.1406	0.1061	-0.5173	NO
Alu	sense	Alu	25	20.0208	37.4794	4.4955	-1.6104	0.5728	-0.5188	NO
L1MB4	antisense	L1	110	979.5151	1422.7964	1326.7698	-0.5174	-0.5605	-0.5390	yes
L1MB7	antisense	L1	282	4110.1202	6039.6886	5842.5569	-0.5898	-0.5232	-0.5565	yes
L1MB8	antisense	L1	157	1021.4856	1509.8806	1344.2826	-0.4447	-0.6740	-0.5593	yes
L1MB1	antisense	L1	44	866.2056	1288.6932	805.5386	-0.2205	-0.8995	-0.5600	yes
L1M2	antisense	L1	59	386.3524	589.2084	601.7471	-0.5893	-0.6258	-0.6075	yes
L1MEd	sense	L1	80	115.9754	189.8464	36.8427	-0.1304	-1.0940	-0.6122	yes
L1MA4	sense	L1	27	40.0409	61.5938	7.0470	-0.4923	-0.7727	-0.6325	yes
AluYe5	sense	Alu	6	3.9776	30.7213	0.5274	-3.4989	2.1479	-0.6755	NO
L1PA10	sense	L1	28	15.6763	29.7991	5.5111	-1.2353	-0.1203	-0.6778	yes
L1ME3A	antisense	L1	137	1274.7102	2051.9336	1763.7111	-0.5561	-0.8126	-0.6843	yes
L1ME3B	antisense	L1	95	1046.3228	1698.3510	818.8672	-0.5948	-0.8056	-0.7002	yes
L1MA9	antisense	L1	101	707.6819	1171.5075	1082.3210	-0.7730	-0.6773	-0.7252	yes
SVA_D	sense	SVA	12	33.3342	59.7494	7.6928	-0.2706	-1.1891	-0.7299	yes
L1MEa	antisense	L1	3	1.7705	7.6803	1.3317	-3.4938	2.0316	-0.7311	NO
L1ME4a	sense	L1	163	240.5996	409.0381	50.0345	-0.9022	-0.6073	-0.7548	yes
L1MCb	sense	L1	9	11.5350	22.1187	8.2402	-1.1680	-0.4064	-0.7872	yes
L1ME4a	antisense	L1	414	4686.0532	8238.3045	4121.8526	-0.7146	-0.9100	-0.8123	yes
L1ME2	antisense	L1	112	879.5519	1600.1853	1082.0018	-0.3948	-1.2473	-0.8210	yes
L1MC5a	antisense	L1	214	1822.5336	3265.6829	1904.1058	-0.7407	-0.9468	-0.8437	yes
L1MB2	antisense	L1	121	3407.6215	6157.1768	3977.1921	-0.6523	-1.0480	-0.8501	yes
L1MD2	sense	L1	60	192.4694	457.4330	65.5493	-1.8562	0.1315	-0.8623	NO
L1ME1	antisense	L1	298	2212.9582	4097.5481	3147.6685	-0.5385	-1.1933	-0.8659	yes
L1ME3E	sense	L1	21	17.1273	32.7170	3.0917	-1.2664	-0.4961	-0.8812	yes
L1M3de	sense	L1	3	0.5694	3.8402	0.2241	-2.5794	0.7539	-0.9127	NO
L1MA8	sense	L1	44	42.3577	84.7860	9.4200	-0.4766	-1.3831	-0.9298	yes
L1ME4c	antisense	L1	105	679.0361	1346.6129	520.2605	-1.0923	-0.8748	-0.9836	yes
L1PB2	antisense	L1	13	71.6519	158.0516	179.5681	-0.4677	-1.5857	-1.0267	yes
SVA_F	antisense	SVA	10	45.0336	103.8356	124.6797	-2.0558	-0.0048	-1.0303	yes
L1MC5a	sense	L1	114	130.7773	271.5632	87.2405	-0.7687	-1.3295	-1.0491	yes
L1MD2	antisense	L1	114	794.8721	1680.0725	1023.0341	-1.0932	-1.0651	-1.0791	yes
L1PA10	antisense	L1	45	321.2894	707.1652	851.9817	-0.6038	-1.5725	-1.0882	yes
L1MB8	sense	L1	88	107.2556	230.0924	73.5605	-1.1028	-1.0853	-1.0940	yes
L1MCc	antisense	L1	16	44.5806	98.1510	98.3775	-1.3297	-0.8697	-1.0997	yes
L1ME3E	antisense	L1	46	224.5952	488.1395	300.9450	-1.0452	-1.1879	-1.1165	yes
L1MC3	sense	L1	93	178.7050	394.7509	161.8514	-1.1364	-1.1414	-1.1389	yes
AluSg4	antisense	Alu	78	349.6573	781.9727	638.3485	-1.0215	-1.2803	-1.1509	yes
L1MD1	antisense	L1	43	743.8444	1657.0315	1098.5301	-1.0138	-1.2990	-1.1564	yes
L1MC3	antisense	L1	127	1650.7871	3678.4098	2488.9792	-1.1031	-1.2119	-1.1575	yes
L1M4a1	antisense	L1	19	396.9412	893.4886	700.8820	-0.9929	-1.3566	-1.1748	yes
AluYh3	sense	Alu	18	14.1247	32.7170	4.5219	-1.7888	-0.5728	-1.1808	yes
L1PA15	antisense	L1	46	424.2860	1005.4583	689.0641	-0.9441	-1.5246	-1.2343	yes
L1M1	antisense	L1	88	695.8260	1665.4828	1275.0984	-1.2291	-1.2880	-1.2585	yes
L1M2	sense	L1	34	31.4309	80.9459	6.4339	-0.6304	-1.8880	-1.2592	yes
L1MEg2	antisense	L1	10	47.8093	135.9329	115.6438	-0.4408	-2.1484	-1.2946	yes
L1M3a	sense	L1	14	9.6166	25.0367	1.4966	-1.3253	-1.2681	-1.2967	yes
L1ME3D	antisense	L1	50	382.8659	949.0953	331.3809	-1.3754	-1.2345	-1.3050	yes
L1P1	antisense	L1	21	97.1702	258.1983	261.3211	-0.7992	-1.9294	-1.3643	yes
AluYh3	antisense	Alu	28	90.0579	235.7771	123.8297	-1.5116	-1.2197	-1.3656	yes
L1ME3Cz	antisense	L1	148	876.0043	2265.1382	837.4933	-1.3643	-1.3752	-1.3697	yes
L1MEf	sense	L1	55	110.8045	299.2153	88.9454	-1.7846	-0.9885	-1.3865	yes
L1MD	antisense	L1	75	595.2706	1613.7162	628.8757	-1.3480	-1.5250	-1.4365	yes
L1M3a	antisense	L1	22	301.0675	820.9941	502.1514	-1.5822	-1.2934	-1.4378	yes
L1ME2z	antisense	L1	93	657.9778	1821.2362	652.8466	-1.5444	-1.3868	-1.4656	yes
L1PBa	antisense	L1	17	118.3390	328.2434	188.6620	-1.6557	-1.2773	-1.4665	yes
AluJr4	sense	Alu	140	122.7136	350.2109	32.8546	-1.7868	-1.1474	-1.4671	yes
L1ME4b	sense	L1	145	194.9053	542.2042	52.8150	-1.4647	-1.4765	-1.4706	yes
L1M5	antisense	L1	519	3535.9504	9947.2686	3496.8837	-1.4034	-1.5841	-1.4938	yes
AluYg6	sense	Alu	5	2.1137	27.0324	1.5294	0.5384	-3.5275	-1.4946	NO
L1ME5	antisense	L1	37	272.8167	796.4111	514.9299	-1.2558	-1.8259	-1.5408	yes
L1M3f	antisense	L1	7	56.9348	173.4122	66.1460	-1.2276	-1.8640	-1.5458	yes
L1MEg1	sense	L1	5	61.7546	198.1464	19.9940	-2.0473	-1.1329	-1.5901	yes
L1MEf	antisense	L1	107	763.2203	2324.4191	904.1691	-1.4996	-1.7066	-1.6031	yes
L1M3e	antisense	L1	4	33.6616	106.9048	37.8511	-1.3970	-1.8532	-1.6251	yes
L1MC	sense	L1	29	37.4676	119.3475	10.8181	-1.7213	-1.5591	-1.6402	yes
L1MEd	antisense	L1	133	892.6917	2778.7681	1206.7996	-1.4649	-1.8163	-1.6406	yes
AluYh3a3	antisense	Alu	7	17.0024	71.1186	36.3081	-2.6756	-0.6539	-1.6647	yes
