subfamily	orientation	family	K562_chrRNA_rep1	K562_chrRNA_rep2	K562_chr_Takara_rep1	K562_chr_Takara_rep2	K562_cyto_Takara_rep1	K562_cyto_Takara_rep2
L1P3b	antisense	L1	304	236	23	49	2	0
L1P3b	sense	L1	176	147	159	171	2	2
L1P4	antisense	L1	27728	26970	8045	9681	120	42
L1P4	sense	L1	22269	17745	21699	26568	131	103
L1P4a	antisense	L1	5093	4251	1350	1675	28	12
L1P4a	sense	L1	5218	3811	6069	7216	20	15
L1P4b	antisense	L1	1491	890	377	551	16	6
L1P4b	sense	L1	199	147	52	130	3	0
L1P4c	antisense	L1	282	146	29	50	0	0
L1P4c	sense	L1	24	18	15	22	0	0
L1P4d	antisense	L1	873	684	109	191	6	0
L1P4d	sense	L1	945	640	416	540	1	1
L1P4e	antisense	L1	542	395	181	225	0	0
L1P4e	sense	L1	1257	856	498	657	10	9
L1P5	antisense	L1	1222	1068	470	645	10	2
L1P5	sense	L1	1413	1202	1657	2121	16	8
L1PA10	antisense	L1	86260	72394	17424	22264	248	193
L1PA10	sense	L1	90656	64620	65314	86842	468	338
L1PA11	antisense	L1	76846	66349	16634	21136	221	145
L1PA11	sense	L1	36279	27169	32172	42258	178	115
L1PA12	antisense	L1	17289	13182	4103	5313	178	92
L1PA12	sense	L1	32350	21820	9131	12077	237	140
L1PA13	antisense	L1	95876	80829	26754	32743	351	168
L1PA13	sense	L1	102480	74879	76105	96785	330	282
L1PA14	antisense	L1	49160	42414	13698	16740	76	42
L1PA14	sense	L1	36599	27057	34635	44553	142	118
L1PA15	antisense	L1	110304	94987	28406	35678	405	300
L1PA15	sense	L1	113808	84680	101674	127824	350	254
L1PA15-16	antisense	L1	17283	14713	4232	5342	846	340
L1PA15-16	sense	L1	15586	11720	11584	14216	58	37
L1PA16	antisense	L1	150128	133701	41701	50592	606	351
L1PA16	sense	L1	139874	107091	129614	160906	715	516
L1PA17	antisense	L1	74701	63697	18473	23340	271	153
L1PA17	sense	L1	25472	19574	30352	37638	2442	1227
L1PA2	antisense	L1	118023	101374	40368	53229	1263	744
L1PA2	sense	L1	47105	36453	71620	105220	796	501
L1PA3	antisense	L1	219161	192602	69452	91024	1360	846
L1PA3	sense	L1	99237	77795	126800	185530	753	580
L1PA4	antisense	L1	210433	182497	56403	74129	712	504
L1PA4	sense	L1	133271	101336	144100	206701	670	555
L1PA5	antisense	L1	239283	206205	52548	69544	579	390
L1PA5	sense	L1	151561	116918	140043	203256	610	502
L1PA6	antisense	L1	190529	164016	42267	54521	388	236
L1PA6	sense	L1	107778	80610	110438	159784	424	421
L1PA7	antisense	L1	317089	274059	73694	94873	822	496
L1PA7	sense	L1	214845	163178	211173	288223	776	585
L1PA8	antisense	L1	95646	78943	20239	25942	424	253
L1PA8	sense	L1	70646	51285	43442	59698	262	241
L1PA8A	antisense	L1	51519	44964	12269	15821	90	52
L1PA8A	sense	L1	45864	34627	42192	57633	66	107
L1PB	antisense	L1	11485	11474	3967	4817	75	40
L1PB	sense	L1	13374	10557	7848	10037	51	32
L1PB1	antisense	L1	217799	193078	48749	60629	580	380
L1PB1	sense	L1	141318	106418	106514	132751	532	363
L1PB2	antisense	L1	22536	19380	6158	7625	102	80
L1PB2	sense	L1	17393	13629	10944	14021	65	49
L1PB3	antisense	L1	40375	37008	13994	17639	138	102
L1PB3	sense	L1	38893	30118	30772	39219	108	139
L1PB4	antisense	L1	49165	41593	15253	18969	221	128
L1PB4	sense	L1	45472	35505	42222	52015	222	221
L1PBa	antisense	L1	27746	22711	7221	9178	78	64
L1PBa	sense	L1	33631	24223	18901	23179	94	107
L1PBa1	antisense	L1	10698	9076	2308	3067	144	96
