subfamily	orientation	family	n_copies_with_reads	chr_mean	cyto_mean	chrRNA_neb_mean	log2_retention_rep1	log2_retention_rep2	log2_retention	reps_agree
L1MA1	sense	L1	232	308.7722	127.0278	79.8766	1.1367	1.4419	1.2893	yes
L1MA5A	sense	L1	258	609.3946	261.1162	296.6699	1.7657	0.8013	1.2835	yes
L1MEh	sense	L1	146	294.9749	122.2654	57.0750	1.3480	1.1732	1.2606	yes
AluYh9	sense	Alu	5	1.4194	0.0000	0.2241	1.4902	1.0212	1.2557	yes
L1M2a1	sense	L1	8	11.5508	13.5162	0.6923	3.5114	-1.0331	1.2391	NO
AluJr4	antisense	Alu	4238	13211.4347	5601.6372	31459.4808	1.1891	1.2878	1.2385	yes
L1M3a	antisense	L1	159	1201.7875	519.7830	1790.2623	1.1534	1.2669	1.2101	yes
L1M7	sense	L1	246	396.9072	171.4165	64.8856	1.2344	1.1835	1.2089	yes
L1MB4	sense	L1	749	751.6681	327.3212	329.4046	1.2429	1.1486	1.1957	yes
L1PB2	sense	L1	164	265.4007	149.9175	313.8234	0.1639	2.2188	1.1914	yes
L1M4b	sense	L1	260	604.7063	266.6496	325.9454	1.2049	1.1490	1.1770	yes
L1PA10	sense	L1	467	613.0671	289.5393	315.6454	0.7798	1.5101	1.1449	yes
L1MEj	sense	L1	111	203.0531	92.4664	60.3052	1.4842	0.8033	1.1438	yes
L1HS	antisense	L1	385	2117.0433	959.8448	3881.2534	1.1235	1.1570	1.1403	yes
L1PBb	sense	L1	16	7.4562	6.7581	3.2830	2.8743	-0.5996	1.1374	NO
L1MC	antisense	L1	1212	4547.5232	2070.0610	5079.5338	1.2044	1.0668	1.1356	yes
L1MC4a	sense	L1	798	1094.7292	502.7291	200.0588	1.3148	0.9517	1.1333	yes
L1ME4c	sense	L1	447	365.9963	169.4208	137.6782	1.0500	1.1659	1.1080	yes
AluYf1	antisense	Alu	338	841.6093	413.8005	1519.8200	0.6715	1.3925	1.0320	yes
AluYk4	antisense	Alu	161	329.2868	173.4122	633.2630	1.2214	0.7035	0.9625	yes
L1ME3Cz	sense	L1	643	681.1319	350.5134	199.8646	1.1278	0.7924	0.9601	yes
L1ME3	sense	L1	641	778.8729	426.0919	382.2431	0.4863	1.4200	0.9531	yes
AluYa5	antisense	Alu	698	1008.7693	525.4676	1185.6244	0.6848	1.2125	0.9487	yes
L1MC	sense	L1	346	255.0123	132.8637	87.6751	0.9987	0.8716	0.9351	yes
AluYc3	antisense	Alu	108	262.0871	142.3885	451.1662	0.5278	1.3072	0.9175	yes
AluJr	antisense	Alu	15833	45041.4828	24150.6646	113211.9760	0.8485	0.9502	0.8993	yes
AluSg4	antisense	Alu	1402	3387.9715	1826.3011	7461.1789	0.8419	0.9388	0.8904	yes
L1MD1	sense	L1	480	461.0936	267.4206	170.8290	0.3786	1.3159	0.8472	yes
L1MC5	sense	L1	1330	1581.5534	884.5836	360.0327	0.8209	0.8564	0.8387	yes
Alu	antisense	Alu	614	1178.5085	664.4697	2185.9838	0.9792	0.6863	0.8327	yes
L1P4e	sense	L1	11	6.2004	7.6803	6.1834	-1.2497	2.9109	0.8306	NO
L1M3b	sense	L1	37	45.3215	29.7991	54.8719	-0.0122	1.6627	0.8252	NO
AluJb	antisense	Alu	24878	68091.5289	38547.8540	180033.2806	0.8105	0.8310	0.8208	yes
AluJo	antisense	Alu	15214	40874.9133	23271.4040	103032.8640	0.8403	0.7862	0.8133	yes
L1MA6	sense	L1	345	308.9352	178.1746	96.6676	1.1128	0.4868	0.7998	yes
SVA_B	antisense	SVA	223	2354.4029	1360.8853	5399.5457	0.8022	0.7814	0.7918	yes
AluSc8	antisense	Alu	4083	9733.0121	5729.2700	20339.1085	0.7365	0.7917	0.7641	yes
AluSx4	antisense	Alu	2196	5059.5659	2981.2232	11803.1574	0.6686	0.8592	0.7639	yes
SVA_E	antisense	SVA	159	1293.3592	777.5276	1336.7172	0.4074	1.0923	0.7498	yes
AluYc	antisense	Alu	752	1717.1167	1036.3308	2871.1113	0.8830	0.6009	0.7420	yes
AluSz6	antisense	Alu	10040	27275.4575	16422.8912	61598.7629	0.6782	0.7845	0.7313	yes
SVA_C	antisense	SVA	153	3122.8002	1874.5300	5219.9962	0.5644	0.8846	0.7245	yes
L1ME3B	sense	L1	588	659.5452	403.3534	165.6662	0.6708	0.7464	0.7086	yes
SVA_F	antisense	SVA	258	1324.8308	807.7804	4079.8614	0.6125	0.8034	0.7080	yes
AluSx3	antisense	Alu	6082	13662.3776	8486.6756	31674.7160	0.7357	0.6410	0.6884	yes
L1MA2	sense	L1	503	728.7395	457.4182	219.2248	0.8382	0.5153	0.6767	yes
AluSq10	antisense	Alu	348	806.7424	516.7138	1879.2110	0.3517	0.9830	0.6673	yes
L1ME4b	sense	L1	1484	1354.3890	885.0521	448.0731	0.2884	1.0444	0.6664	yes
L1MB7	sense	L1	1875	2406.1102	1531.2432	1125.1262	0.5347	0.7850	0.6598	yes
L1MC4	sense	L1	2273	2620.7961	1680.8435	681.7008	0.6782	0.6003	0.6393	yes
AluSz	antisense	Alu	20116	50387.2663	32363.3275	117091.8963	0.5864	0.6901	0.6383	yes
L1M2a	sense	L1	41	39.4334	27.9546	14.0803	1.1490	0.1018	0.6254	yes
L1ME3D	sense	L1	254	509.3855	340.0664	253.2756	0.9789	0.2634	0.6211	yes
L1ME5	sense	L1	191	250.0748	162.6627	42.8748	0.5828	0.6575	0.6201	yes
L1ME3C	sense	L1	217	219.8688	145.3064	67.9916	0.4213	0.8039	0.6126	yes
L1PA8	sense	L1	512	770.5378	520.2367	291.2245	0.9440	0.2775	0.6107	yes
SVA_A	antisense	SVA	190	1520.0268	1008.5422	2842.8942	0.2302	0.9641	0.5972	yes
AluYk11	antisense	Alu	172	217.9990	143.4619	492.6214	0.4862	0.6988	0.5925	yes
L1ME2	sense	L1	717	616.4294	412.8782	221.7177	0.4711	0.7006	0.5858	yes
AluSg7	antisense	Alu	1636	3686.1562	2473.8681	8183.4373	0.6449	0.5139	0.5794	yes
AluSq2	antisense	Alu	10808	25371.0117	17162.4265	56663.8528	0.5981	0.5326	0.5653	yes
AluSg	antisense	Alu	7137	17128.3128	11584.7968	36976.8345	0.5344	0.5929	0.5636	yes
AluSx	antisense	Alu	22876	53685.9483	36646.7749	122833.0261	0.4814	0.6191	0.5503	yes
L1MB8	sense	L1	1278	1407.0208	974.7370	491.5244	0.7687	0.3289	0.5488	yes
AluSc	antisense	Alu	6203	16365.2752	11254.0744	31319.6513	0.5808	0.5025	0.5417	yes
L1MEd	sense	L1	1261	1535.5626	1071.9805	518.8494	0.3548	0.7198	0.5373	yes
AluY	antisense	Alu	18746	40284.7619	27773.5894	76802.5384	0.4796	0.5903	0.5350	yes
L1MEf	sense	L1	888	1100.0604	769.8472	331.9432	0.3648	0.6973	0.5311	yes
L1MEc	sense	L1	1458	2175.6965	1508.5047	582.6002	0.5280	0.5282	0.5281	yes
AluYj4	antisense	Alu	433	795.0423	551.5778	1643.7548	0.4546	0.6015	0.5280	yes
AluSx1	antisense	Alu	22253	53591.6918	37262.4255	124980.9600	0.4363	0.6120	0.5242	yes
AluYg6	antisense	Alu	128	218.6525	155.9047	321.9294	0.3110	0.6851	0.4980	yes
AluYm1	antisense	Alu	790	1615.8182	1148.6177	3431.0992	0.4677	0.5148	0.4913	yes
L1PA11	sense	L1	344	459.7215	327.3212	181.0168	0.4117	0.5632	0.4875	yes
