subfamily	orientation	family	K562_chrRNA_rep1	K562_chrRNA_rep2	K562_chr_Takara_rep1	K562_chr_Takara_rep2	K562_cyto_Takara_rep1	K562_cyto_Takara_rep2
SVA_A	antisense	SVA	14241	9008	2988	4920	150	64
SVA_A	sense	SVA	210	106	436	739	30	24
SVA_B	antisense	SVA	27771	16524	4502	7787	152	115
SVA_B	sense	SVA	209	105	713	1301	47	15
SVA_C	antisense	SVA	26973	15873	6027	10255	240	141
SVA_C	sense	SVA	260	144	490	949	29	24
SVA_D	antisense	SVA	61995	37752	11275	19380	729	377
SVA_D	sense	SVA	2353	1344	1533	2513	774	360
SVA_E	antisense	SVA	6499	4395	2658	4034	118	48
SVA_E	sense	SVA	771	429	387	544	63	17
SVA_F	antisense	SVA	20433	12931	2675	4195	103	61
SVA_F	sense	SVA	1062	647	590	931	71	50
