level	name	family	n_copies	n_bins	n_eff	copies_per_bin	top_chrom_frac	gc_mean	speckle_mean	speckle_se	speckle_resid	speckle_resid_se	lamina_mean	lamina_se	lamina_resid	lamina_resid_se	nucleolus_MKI67IP_mean	nucleolus_MKI67IP_se	nucleolus_MKI67IP_resid	nucleolus_MKI67IP_resid_se	nucleolus_POL1RE_mean	nucleolus_POL1RE_se	nucleolus_POL1RE_resid	nucleolus_POL1RE_resid_se	lam_minus_nuc	lam_minus_nuc_se	lam_minus_nuc_resid	lam_minus_nuc_resid_se
subfamily	L1MC1	L1	12868	6993	3256.5	1.8401	0.084084	0.39592	-0.20124	0.0083742	0.033109	0.0050589	-0.18375	0.015749	-0.064469	0.011316	-0.25185	0.0069067	-0.00020108	0.0064436	-0.13727	0.0047306	0.0025749	0.0032251	0.068095	0.020231	-0.064268	0.014923
subfamily	L1MC2	L1	6254	3343	2071.4	1.8708	0.084954	0.40078	-0.11586	0.013125	0.078365	0.0084206	-0.34774	0.022096	-0.17977	0.016955	-0.18078	0.010047	0.051016	0.0086391	-0.090099	0.0070212	0.029047	0.0047472	-0.16696	0.029989	-0.23079	0.022957
subfamily	L1MC3	L1	13025	6409	4075.9	2.0323	0.091434	0.39658	-0.19847	0.0087776	0.029824	0.0046433	-0.2023	0.016254	-0.0898	0.012612	-0.18786	0.0089723	0.065953	0.0081859	-0.1118	0.0057919	0.029558	0.0043498	-0.014434	0.023904	-0.15575	0.019441
subfamily	L1MC4	L1	24725	12202	8257.3	2.0263	0.086379	0.40872	-0.039159	0.0063385	0.084479	0.0039466	-0.44986	0.010363	-0.17532	0.0081406	-0.18141	0.0048868	0.008427	0.0042245	-0.057386	0.0034144	0.018986	0.0022914	-0.26845	0.014141	-0.18375	0.011018
subfamily	L1MC4a	L1	10286	5887	3782.7	1.7472	0.087141	0.40631	-0.070171	0.0090982	0.076292	0.0054801	-0.41742	0.015391	-0.17735	0.01218	-0.17762	0.0074222	0.025631	0.0064471	-0.064481	0.0051159	0.025757	0.0035244	-0.2398	0.021194	-0.20298	0.016663
subfamily	L1MC5	L1	15206	9091	6222.7	1.6726	0.090419	0.41208	-0.0087037	0.0070553	0.087065	0.0045317	-0.48972	0.011528	-0.17159	0.009344	-0.17647	0.0054666	-0.0036522	0.0047431	-0.040499	0.0038188	0.01846	0.0026089	-0.31326	0.015771	-0.16794	0.012615
subfamily	L1MC5a	L1	16856	10237	7027.9	1.6466	0.096122	0.4119	-0.0069985	0.0069213	0.089282	0.0042979	-0.49425	0.010985	-0.17719	0.0087702	-0.17256	0.0052583	0.00032811	0.0045414	-0.041785	0.0036685	0.017423	0.0024506	-0.32169	0.015096	-0.17752	0.01192
subfamily	L1MCa	L1	7444	3003	2000.2	2.4789	0.077589	0.39084	-0.23137	0.011693	0.044267	0.0071196	-0.25838	0.022447	-0.20244	0.017765	-0.16443	0.012321	0.11165	0.011311	-0.10849	0.0079111	0.056335	0.0060816	-0.093951	0.032434	-0.31409	0.026566
subfamily	L1MCb	L1	2181	1004	700.66	2.1723	0.093625	0.38028	-0.38924	0.015714	-0.022273	0.0090314	0.11813	0.03589	0.037117	0.029858	-0.24789	0.019902	0.082476	0.018253	-0.20811	0.012429	0.012178	0.009665	0.36601	0.053306	-0.045359	0.045471
subfamily	L1MCc	L1	3311	1441	1022.2	2.2977	0.084663	0.38444	-0.33381	0.014833	-0.0020181	0.0082464	0.036055	0.028391	0.0048962	0.021588	-0.30633	0.014079	0.0040813	0.012314	-0.20722	0.0097955	-0.0075118	0.0067772	0.34238	0.039472	0.00081491	0.030357
subfamily	L1MD	L1	8811	5968	4217.6	1.4764	0.08931	0.40155	-0.095229	0.0096081	0.088188	0.0054863	-0.38665	0.015361	-0.20507	0.011385	-0.1692	0.0076726	0.057435	0.0066717	-0.079375	0.0052248	0.03439	0.0034551	-0.21745	0.021422	-0.26251	0.01613
subfamily	L1MD1	L1	6686	2729	1666.5	2.45	0.096372	0.39905	-0.14675	0.013348	0.059778	0.0078901	-0.26529	0.023228	-0.10958	0.017683	-0.22624	0.010334	0.010216	0.0088391	-0.1147	0.0072806	0.0093691	0.0047855	-0.039057	0.031171	-0.1198	0.023557
