subfamily	orientation	family	n_copies_with_reads	chr_mean	cyto_mean	chrRNA_neb_mean	log2_retention_rep1	log2_retention_rep2	log2_retention	reps_agree
L1ME3A	sense	L1	95	1633.2864	1839.8173	1295.9119	-0.0925	-0.2543	-0.1734	yes
AluYc	antisense	Alu	17	21.4560	29.7991	16.6974	-1.2683	0.8053	-0.2315	NO
L1MC5	sense	L1	128	1833.7683	2195.6980	998.7630	-0.0504	-0.4535	-0.2520	yes
L1ME1	sense	L1	163	2366.6874	2851.5651	1782.5169	-0.0846	-0.4342	-0.2594	yes
L1MA7	sense	L1	34	411.5986	498.5865	174.7285	-0.3782	-0.1650	-0.2716	yes
L1ME3A	antisense	L1	41	54.3766	74.0365	7.8713	-1.0212	0.4633	-0.2790	NO
L1M4	sense	L1	141	2366.2015	2902.8780	1348.8054	-0.2216	-0.3675	-0.2945	yes
L1PB3	sense	L1	12	160.1654	199.3711	107.8061	-0.0293	-0.5670	-0.2981	yes
L1MEh	sense	L1	18	211.8683	261.8872	71.5957	-0.3702	-0.2454	-0.3078	yes
L1MEf	sense	L1	78	1646.4618	2063.4541	558.4841	-0.2059	-0.4419	-0.3239	yes
AluYg6	sense	Alu	10	56.2168	77.1057	28.8009	0.3880	-1.0468	-0.3294	NO
L1MD2	sense	L1	63	711.8146	898.2510	828.3320	-0.2843	-0.3871	-0.3357	yes
AluYk11	sense	Alu	15	15.5363	22.1187	22.9344	-1.1225	0.3501	-0.3862	NO
L1ME4b	sense	L1	145	1228.7050	1712.6382	1044.7216	-0.5020	-0.4552	-0.4786	yes
L1MC4	antisense	L1	78	68.2515	96.3065	59.7642	-0.3409	-0.6199	-0.4804	yes
AluSx4	antisense	Alu	51	58.9788	88.4750	43.0197	-1.3397	0.3669	-0.4864	NO
L1ME3	sense	L1	50	687.1121	1033.4129	302.3730	-0.2674	-0.8897	-0.5786	yes
AluYk3	antisense	Alu	6	2.8389	15.3606	0.0000	-2.7799	1.6131	-0.5834	NO
AluYj4	antisense	Alu	11	20.3094	41.3195	15.2072	-1.8100	0.6400	-0.5850	NO
L1MC	sense	L1	44	807.9107	1230.3346	339.5240	-0.6192	-0.5930	-0.6061	yes
L1MEa	sense	L1	1	4.6173	34.5615	6.2098	-4.2389	2.9109	-0.6640	NO
L1MB7	sense	L1	151	3021.6905	4803.5181	1479.6613	-0.5401	-0.8002	-0.6702	yes
L1PB1	antisense	L1	13	10.6304	18.2786	0.5010	-0.9659	-0.4064	-0.6861	yes
L1ME3G	sense	L1	120	1011.8914	1656.7142	544.9468	-0.4025	-0.9749	-0.6887	yes
L1ME3G	antisense	L1	39	34.8864	62.5161	18.2333	-1.4492	-0.0381	-0.7436	yes
L1ME3C	sense	L1	23	244.8802	419.9388	123.6107	-0.4230	-1.0997	-0.7614	yes
L1M4b	antisense	L1	20	50.4615	91.5441	12.5316	-0.3782	-1.1601	-0.7692	yes
AluYe5	sense	Alu	15	89.7779	155.9047	61.6562	-1.0844	-0.4777	-0.7811	yes
L1ME3Cz	antisense	L1	28	29.9647	72.3433	52.4667	0.4016	-2.0232	-0.8108	NO
AluYk3	sense	Alu	9	53.1374	103.8356	51.1814	-1.9379	0.3028	-0.8176	NO
L1MB8	antisense	L1	50	47.9421	87.5527	92.3347	-1.1621	-0.4736	-0.8179	yes
L1M6	antisense	L1	9	2.2150	15.3606	0.6923	-3.0944	1.4415	-0.8265	NO
L1MC4a	sense	L1	72	1372.0153	2438.7017	680.8987	-0.7922	-0.8664	-0.8293	yes
L1PB4	antisense	L1	11	12.5804	25.9589	9.5128	-1.7888	0.1184	-0.8352	NO
L1MA7	antisense	L1	14	7.4562	14.4384	5.8408	-1.1578	-0.5996	-0.8787	yes
AluYg6	antisense	Alu	5	0.6239	3.8402	0.4482	-2.1882	0.4257	-0.8813	NO
L1PA8	sense	L1	31	331.7588	648.0355	276.1357	-0.9506	-0.9756	-0.9631	yes
L1PREC2	antisense	L1	13	9.9598	21.1965	9.6376	-0.7700	-1.1855	-0.9777	yes
L1ME1	antisense	L1	66	124.3356	252.2112	94.5115	-0.9977	-1.0328	-1.0153	yes
SVA_A	sense	SVA	23	579.8698	1204.6782	404.2603	-0.9905	-1.1086	-1.0495	yes
AluSc5	antisense	Alu	24	14.1635	31.7948	5.6032	-0.7225	-1.3988	-1.0606	yes
AluYc3	sense	Alu	8	8.3450	24.1144	8.7677	0.4498	-2.6039	-1.0771	NO
L1MA1	sense	L1	17	171.2251	364.9518	170.7547	-0.9712	-1.1957	-1.0834	yes
L1M5	antisense	L1	113	122.2146	261.8872	91.4149	-1.0579	-1.1273	-1.0926	yes
L1M6B	sense	L1	2	39.3164	94.4621	63.7237	-0.5761	-1.6331	-1.1046	yes
L1M4b	sense	L1	30	1576.1814	3455.8317	1118.3242	-0.9864	-1.2749	-1.1307	yes
L1ME3D	sense	L1	15	237.8534	522.8522	151.9348	-0.9614	-1.3045	-1.1330	yes
L1MD	sense	L1	45	777.0958	1719.5476	658.2377	-1.1122	-1.1768	-1.1445	yes
L1M2a1	sense	L1	1	1.6535	15.3606	0.2769	-4.0579	1.7665	-1.1457	NO
L1MD3	sense	L1	41	412.5420	932.1927	303.6505	-0.9989	-1.3346	-1.1668	yes
L1ME4a	sense	L1	226	2635.0237	5991.6405	1427.8891	-1.3089	-1.0511	-1.1800	yes
L1M2a1	antisense	L1	1	0.3432	3.8402	0.2241	-3.1177	0.7539	-1.1819	NO
L1MC5a	antisense	L1	47	46.5536	112.7406	43.4999	-0.6035	-1.7696	-1.1865	yes
AluYc	sense	Alu	33	206.4088	476.7702	176.6113	-1.0645	-1.3134	-1.1890	yes
L1MA5A	sense	L1	18	64.1023	180.3216	37.5164	-0.3052	-2.0828	-1.1940	yes
L1MB5	sense	L1	57	320.5814	774.1411	389.3751	-1.2128	-1.3226	-1.2677	yes
AluJr4	sense	Alu	212	1368.0010	3342.4861	1620.4533	-1.3262	-1.2502	-1.2882	yes
L1MB5	antisense	L1	19	10.0998	25.0367	2.0897	-0.6784	-1.9656	-1.3220	yes
