cell_line	rbp	element	subfamily	orientation	n_peaks_rbp	loci_in_cat	bg_loci_in_cat	n_peaks_bg	pooled_loci_in_cat	fold_enrichment	p_fisher_greater	q_BH
K562	SAFB2	L1	L1ME3	sense	8005	13	66	877390	79	21.5889	4.048e-13	4.828e-11
K562	QKI	L1	L1MA9	antisense	5242	16	199	880153	215	13.4998	4.143e-13	4.927e-11
K562	KHSRP	L1	L1MEi	antisense	41865	18	26	843530	44	13.9492	4.361e-13	5.172e-11
K562	EXOSC5	L1	L1MCa	antisense	16207	27	228	869188	255	6.3510	4.409e-13	5.214e-11
K562	PTBP1	Alu	AluSx3	antisense	12476	23	208	872919	231	7.7368	4.496e-13	5.302e-11
K562	ILF3	Alu	AluSq	antisense	7110	15	120	878285	135	15.4410	4.573e-13	5.379e-11
K562	UPF1	Alu	AluJb	sense	16758	60	1020	868637	1080	3.0491	4.651e-13	5.455e-11
K562	AKAP1	Alu	AluSq	antisense	2620	11	124	882775	135	29.8896	4.775e-13	5.585e-11
K562	KHDRBS1	L1	L1MC3	sense	3897	10	57	881498	67	39.6841	5.327e-13	6.213e-11
K562	KHSRP	L1	L1MCa	antisense	41865	43	212	843530	255	4.0868	5.423e-13	6.308e-11
K562	HNRNPL	L1	L1ME2	antisense	9862	23	273	875533	296	7.4795	7.017e-13	8.139e-11
K562	KHSRP	L1	L1MA6	antisense	41865	25	67	843530	92	7.5182	7.200e-13	8.329e-11
K562	UPF1	Alu	AluSq2	sense	16758	26	207	868637	233	6.5106	7.344e-13	8.472e-11
K562	EXOSC5	L1	L1M3f	antisense	16207	11	16	869188	27	36.8709	7.666e-13	8.821e-11
K562	EXOSC5	L1	L1P2	antisense	16207	14	40	869188	54	18.7706	7.694e-13	8.829e-11
K562	QKI	L1	L1MC4	antisense	5242	24	588	880153	612	6.8532	9.112e-13	1.043e-10
K562	EXOSC5	L1	L1PBa1	antisense	16207	9	6	869188	15	80.4456	1.043e-12	1.190e-10
K562	HNRNPM	L1	L1PB3	antisense	10195	13	55	875200	68	20.2909	1.080e-12	1.229e-10
K562	HNRNPM	L1	L1P2	antisense	10195	12	42	875200	54	24.5274	1.183e-12	1.343e-10
K562	QKI	L1	L1ME4a	antisense	5242	22	488	880153	510	7.5694	1.240e-12	1.404e-10
K562	AKAP1	Alu	AluSp	sense	2620	12	184	882775	196	21.9742	1.269e-12	1.432e-10
K562	SAFB	L1	L1MDa	sense	2224	9	77	883171	86	46.4154	1.514e-12	1.706e-10
K562	KHDRBS1	L1	L1M6	sense	3897	7	12	881498	19	131.9495	1.531e-12	1.715e-10
