cell_line	rbp	element	subfamily	orientation	n_peaks_rbp	loci_in_cat	bg_loci_in_cat	n_peaks_bg	pooled_loci_in_cat	fold_enrichment	p_fisher_greater	q_BH
K562	AARS	L1	L1ME3G	antisense	1457	0	280	883938	280	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MEf	sense	1457	0	108	883938	108	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MEf	antisense	1457	0	400	883938	400	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluYc3	sense	1457	0	0	883938	0	nan	1.000e+00	1.000e+00
K562	AARS	Alu	AluYc3	antisense	1457	0	0	883938	0	nan	1.000e+00	1.000e+00
K562	AARS	L1	L1MB2	sense	1457	0	57	883938	57	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MB2	antisense	1457	0	337	883938	337	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1ME3F	sense	1457	0	33	883938	33	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1ME3F	antisense	1457	0	129	883938	129	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MB7	sense	1457	0	187	883938	187	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MB7	antisense	1457	0	585	883938	585	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MCc	sense	1457	0	2	883938	2	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MCc	antisense	1457	0	85	883938	85	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MEb	sense	1457	0	13	883938	13	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MEb	antisense	1457	0	23	883938	23	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1ME3A	sense	1457	0	92	883938	92	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1ME3A	antisense	1457	0	336	883938	336	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1PA12	sense	1457	0	8	883938	8	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1PA12	antisense	1457	0	12	883938	12	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluYg6	sense	1457	0	1	883938	1	0.0000	1.000e+00	1.000e+00
K562	AARS	Alu	AluYg6	antisense	1457	0	3	883938	3	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MDa	sense	1457	0	86	883938	86	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MDa	antisense	1457	0	221	883938	221	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1ME3Cz	sense	1457	0	90	883938	90	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1ME3Cz	antisense	1457	0	242	883938	242	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1ME2z	sense	1457	0	57	883938	57	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1ME2z	antisense	1457	0	169	883938	169	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1PA15	sense	1457	0	87	883938	87	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1PA15	antisense	1457	0	253	883938	253	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MA10	sense	1457	0	13	883938	13	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MA10	antisense	1457	0	41	883938	41	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MC2	sense	1457	0	69	883938	69	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MC2	antisense	1457	1	129	883938	130	4.7030	1.927e-01	1.000e+00
K562	AARS	L1	L1ME3C	sense	1457	0	28	883938	28	0.0000	1.000e+00	1.000e+00
