subfamily	orientation	family	baseMean	log2FoldChange	lfcSE	pvalue	padj
L1ME3Cz	antisense	L1	234.861885370553	0.136977458808732	0.255410654365589	0.591749269478913	0.653631546025727
L1MA10	sense	L1	159.176498273301	0.126889418457682	0.505935210455737	0.801967415575674	0.834796491067076
L1P5	antisense	L1	10.4594790138724	0.112778253275736	1.16631476581366	0.922967625363634	0.934021129859007
L1M5	sense	L1	2216.83303252919	0.112107559945856	0.0817655445514368	0.170348276269456	0.200807901827571
L1ME3A	sense	L1	625.753822746658	0.109312240056468	0.201205326438761	0.586932207165467	0.637036176069837
L1P1	antisense	L1	145.463208611539	0.106802228374625	0.472444665950024	0.821152471032287	0.861955078288549
L1MCc	sense	L1	149.086765396527	0.0934123044583776	0.525748307979329	0.858978259022961	0.883804220266399
L1ME3D	antisense	L1	75.1204724488614	0.0846378169368603	0.583407512335738	0.884651694335211	0.911622782577138
L1M	sense	L1	18.309524511582	0.0769389724851349	0.851831096848689	0.928031446196501	0.937420455590477
L1M2	antisense	L1	951.654290703515	0.0542256189123177	0.188080766495619	0.773109236921801	0.816596631498652
L1MD3	antisense	L1	166.839150373708	0.0520866485701884	0.432731632000053	0.904192357865599	0.926112172601734
L1MD	antisense	L1	180.663748157786	0.0473577615601676	0.285078993228938	0.868061302699375	0.905570124420953
L1MB5	antisense	L1	377.230763480811	0.0300268388061889	0.193806782880096	0.876875062884188	0.909152672560906
AluYd8	antisense	Alu	0.537287876911536	-0.00428153126493752	3.64638130640302	0.999063135031462	NA
L1MEd	antisense	L1	377.84314287251	-0.00669957901762976	0.202063019299738	0.973550274327728	0.979345216436821
L1MEb	antisense	L1	18.4450052648412	-0.0110277996172383	0.805331808911324	0.989074520611646	0.989074520611646
L1MEh	sense	L1	86.5690775973436	-0.0330758583809446	0.388510602870186	0.932154048536598	0.937420455590477
L1ME3G	sense	L1	337.107746627311	-0.039930115609008	0.200288280512224	0.841978632736859	0.87134998039047
L1ME5	sense	L1	193.337123762077	-0.043341994620771	0.262084381944831	0.868649460606575	0.888618413723968
AluYj4	antisense	Alu	36.3780979066679	-0.061070778790014	0.562615242322758	0.91356097947853	0.930071117661877
L1M4a1	sense	L1	81.1901034446325	-0.0634214219118962	0.413621073206507	0.878136322723255	0.893190088255654
L1MDa	antisense	L1	177.286672478859	-0.0895845580354451	0.286684647209226	0.754672210015388	0.802135871022645
L1P4c	sense	L1	0.647024743337298	-0.153708953302342	3.99035449405455	0.969272986081347	0.969272986081347
L1ME3	sense	L1	300.663490519626	-0.165483261373259	0.336533778586583	0.622911264314139	0.667940994264558
L1MEh	antisense	L1	62.3688934768049	-0.194298416905478	0.422875142898704	0.645896733017402	0.704235792773812
L1MEj	sense	L1	210.4392648043	-0.201017174274243	0.260830326697468	0.440895588163558	0.487449780702567
L1ME1	antisense	L1	842.49443822856	-0.232280526856925	0.161651854355783	0.150741175849932	0.20544563482773
L1ME2z	antisense	L1	165.381663818286	-0.238988948420506	0.274362986794101	0.38371676610573	0.456676996280763
L1ME5	antisense	L1	116.743424127678	-0.253672116018737	0.45927923817666	0.58072464511766	0.64567411200582
L1PB3	antisense	L1	140.755917934412	-0.276700618335936	0.36360552399419	0.44666229992307	0.51702690881506
L1MC5a	sense	L1	509.085832018755	-0.322075792608845	0.218590528803835	0.140637653444035	0.172644843538194
AluYk4	antisense	Alu	12.7890354282389	-0.352233926448045	0.911871356247379	0.699292348998575	0.747977259371894
L1ME4c	antisense	L1	116.422113271387	-0.370126978364099	0.325765208324554	0.255882441354607	0.322717407380064
L1M5	antisense	L1	1160.82801051761	-0.38502306646433	0.139085374679447	0.00563582330393475	0.0110750481205229
L1MB7	antisense	L1	538.439675552729	-0.427811308863225	0.188056824331619	0.0229116616020379	0.0403340709452542
L1M7	antisense	L1	77.8695363358778	-0.435159928927081	0.36418754852536	0.232134442752505	0.30049422597645
Alu	antisense	Alu	43.0203080128471	-0.465477898447661	0.491863736205687	0.343967349978653	0.418776548325492
L1MEg2	antisense	L1	11.9468622694097	-0.517322936946549	1.31688678434565	0.694439267400032	0.747517427965639
L1MD3	sense	L1	136.174143761114	-0.524129402413756	0.400238237779068	0.190350296120044	0.221453285682143
L1P1	sense	L1	916.265757742854	-0.595756199945942	0.22418084578019	0.00787271720760068	0.0108631291701777
