subfamily	orientation	family	K562_chrRNA_rep1	K562_chrRNA_rep2	K562_chr_Takara_rep1	K562_chr_Takara_rep2	K562_cyto_Takara_rep1	K562_cyto_Takara_rep2
L1PB1	antisense	L1	18348	16467	3776	4702	54	26
L1PB1	sense	L1	10182	7796	7556	8806	106	56
L1PB2	antisense	L1	2097	1689	746	972	9	5
L1PB2	sense	L1	1404	980	1772	2374	7	11
L1PB3	antisense	L1	2816	2686	724	848	23	28
L1PB3	sense	L1	2721	2164	2669	3380	11	11
L1PB4	antisense	L1	4163	3618	1302	1422	43	18
L1PB4	sense	L1	3788	3488	3638	4353	20	6
L1PBa	antisense	L1	4798	4414	952	1087	11	6
L1PBa	sense	L1	4215	3026	7150	7413	13	20
L1PBa1	antisense	L1	673	608	296	375	8	1
L1PBa1	sense	L1	704	499	422	536	8	13
L1PBb	antisense	L1	348	256	297	338	0	0
L1PBb	sense	L1	73	73	34	26	0	0
L1PREC2	antisense	L1	5266	4815	1402	1750	36	25
L1PREC2	sense	L1	9809	7274	9743	11705	77	51
SVA_A	antisense	SVA	498	352	138	197	17	4
SVA_A	sense	SVA	222	197	79	108	6	5
SVA_B	antisense	SVA	2602	1633	969	1252	28	17
SVA_B	sense	SVA	565	438	265	358	70	30
SVA_C	antisense	SVA	2551	1526	265	492	41	16
SVA_C	sense	SVA	957	557	128	119	132	45
SVA_D	antisense	SVA	7134	4093	1127	1700	387	207
SVA_D	sense	SVA	2790	1693	604	825	1356	796
SVA_E	antisense	SVA	1304	843	274	337	24	10
SVA_E	sense	SVA	610	363	124	190	38	17
SVA_F	antisense	SVA	4291	2610	367	566	20	32
SVA_F	sense	SVA	1019	562	303	350	123	75
