subfamily	family	orientation	n_genes	n_copies	n_contacts	te_frac	ctl_exp_frac	z_gene	p_gene	q_gene	shift_mean	shift_sd	z_shift	p_shift	q_shift
L1MB1	L1	antisense	238	643	2266	0.00838482	0.0330938	-7.30632	1	1	0.0426222	0.0412654	-0.829687	0.796642	0.999762
L1MA9	L1	sense	919	2914	10204	0.0164641	0.0275701	-7.3462	1	1	0.0347414	0.0162373	-1.12564	0.86984	0.999762
L1PB4	L1	sense	655	1493	6392	0.0111076	0.0247586	-7.39867	1	1	0.0336232	0.0163976	-1.37311	0.91514	0.999762
L1MC3	L1	antisense	442	1058	5513	0.0110648	0.0250354	-7.43629	1	1	0.0400978	0.0300232	-0.967019	0.833233	0.999762
L1MC4	L1	antisense	1020	2868	9286	0.0312298	0.0453678	-7.44476	1	1	0.0583604	0.0322804	-0.840468	0.799677	0.999762
L1MEg	L1	antisense	438	1483	5566	0.0177866	0.0343156	-7.51767	1	1	0.0408985	0.0180955	-1.27722	0.899238	0.999762
L1MA5	L1	antisense	212	450	2286	0.0275591	0.0557667	-7.59981	1	1	0.0871326	0.112983	-0.527278	0.701	0.999762
L1M2c	L1	sense	37	84	1691	0.00946186	0.0459035	-7.62315	1	1	0.0597274	0.041175	-1.22078	0.888915	0.999762
L1MD1	L1	antisense	218	659	3280	0.0140244	0.0354162	-7.62885	1	1	0.0515946	0.0674034	-0.557394	0.711371	0.999762
L1PA12	L1	sense	142	226	2246	0.0106857	0.0368081	-7.62981	1	1	0.0368805	0.0712271	-0.367765	0.643476	0.999762
L1MA1	L1	sense	288	723	4667	0.00921363	0.0252437	-7.6519	1	1	0.0403102	0.0452087	-0.687844	0.754224	0.999762
L1ME3B	L1	sense	620	1975	5143	0.0147774	0.0317163	-7.81295	1	1	0.0359142	0.0248094	-0.851968	0.802884	0.999762
L1PA10	L1	antisense	460	823	5665	0.0150044	0.0311813	-7.83124	1	1	0.0369249	0.018516	-1.18387	0.881767	0.999762
L1MA5A	L1	sense	345	788	4269	0.0128836	0.0329852	-7.90968	1	1	0.0377217	0.0368282	-0.674432	0.749982	0.999762
L1MC	L1	sense	706	1765	3456	0.00868056	0.0293512	-7.91763	1	1	0.0374983	0.0574645	-0.501487	0.691986	0.999762
L1PA5	L1	sense	1051	2167	17338	0.0283193	0.0386086	-7.97802	1	1	0.0430611	0.0139247	-1.05868	0.855128	0.999762
L1ME3G	L1	sense	1618	4477	8474	0.0167571	0.0301599	-7.98405	1	1	0.0378281	0.0414795	-0.507986	0.694268	0.999762
L1PA4	L1	sense	865	2034	12619	0.0228227	0.0347197	-8.13815	1	1	0.0463069	0.0419782	-0.559438	0.712069	0.999762
AluJo	Alu	antisense	6012	16826	58367	0.0290575	0.0347758	-8.1809	1	1	0.0436729	0.00980577	-1.49048	0.931951	0.999762
L1PBa	L1	sense	133	286	4482	0.00446229	0.020839	-8.34683	1	1	0.0335286	0.0374378	-0.776389	0.78124	0.999762
L1MB2	L1	sense	913	2647	7985	0.0142768	0.0289847	-8.36243	1	1	0.0347224	0.0140864	-1.45144	0.926671	0.999762
AluSz6	Alu	sense	5250	12864	41407	0.0282561	0.0351941	-8.38553	1	1	0.0448831	0.0228149	-0.728779	0.766932	0.999762
AluSz	Alu	antisense	6908	20699	67088	0.0294688	0.0349495	-8.40959	1	1	0.0455227	0.0151942	-1.05658	0.854648	0.999762
